UserId,AttractionId,Rating,VisitMode,AttractionTypeId_x,CityId,CountryId,RegionId,ContinentId,season,month,year,user_total_visits,user_avg_rating,attraction_popularity,date
742,640,5,2,63,1346.0,163,21,5,winter,1,2020,2,3.0,13198,2020-01-01
71542,640,5,2,63,5487.0,115,16,4,winter,12,2019,2,4.0,13198,2019-12-01
57489,640,5,3,63,1434.0,109,15,4,winter,1,2020,1,5.0,13198,2020-01-01
22601,640,4,2,63,2377.0,71,11,3,winter,12,2019,2,4.0,13198,2019-12-01
87646,640,5,5,63,8243.0,163,21,5,spring,4,2019,2,5.0,13198,2019-04-01
57409,640,5,3,63,6813.0,151,20,5,winter,12,2019,1,5.0,13198,2019-12-01
75883,640,5,4,63,6429.0,141,19,5,winter,1,2020,1,5.0,13198,2020-01-01
35029,640,5,4,63,2127.0,51,8,2,winter,12,2019,2,5.0,13198,2019-12-01
60491,640,5,5,63,2905.0,93,13,3,winter,1,2020,2,5.0,13198,2020-01-01
22981,640,5,4,63,4303.0,109,15,4,winter,12,2019,1,5.0,13198,2019-12-01
34788,640,5,3,63,2488.0,76,12,3,winter,12,2019,4,4.5,13198,2019-12-01
8357,640,4,3,63,3973.0,109,15,4,winter,12,2019,11,4.181818181818182,13198,2019-12-01
25551,640,3,3,63,5272.0,109,15,4,winter,1,2020,2,3.0,13198,2020-01-01
46084,640,5,2,63,3974.0,109,15,4,winter,12,2019,1,5.0,13198,2019-12-01
81818,640,5,3,63,8137.0,163,21,5,winter,12,2019,1,5.0,13198,2019-12-01
10917,640,5,2,63,2311.0,69,11,3,winter,12,2019,1,5.0,13198,2019-12-01
9849,640,5,5,63,554.0,48,8,2,winter,12,2019,2,5.0,13198,2019-12-01
30762,640,5,3,63,4622.0,109,15,4,winter,12,2019,4,5.0,13198,2019-12-01
33532,640,5,4,63,3013.0,101,14,3,winter,12,2019,3,4.0,13198,2019-12-01
20406,640,5,3,63,3381.0,103,14,3,winter,12,2019,1,5.0,13198,2019-12-01
67711,640,5,5,63,3915.0,109,15,4,winter,12,2019,1,5.0,13198,2019-12-01
54951,640,5,3,63,535.0,109,15,4,winter,12,2019,2,5.0,13198,2019-12-01
1258,640,4,3,63,7214.0,158,21,5,winter,12,2019,1,4.0,13198,2019-12-01
80378,640,5,2,63,2279.0,69,11,3,winter,12,2019,2,5.0,13198,2019-12-01
16901,640,5,2,63,1930.0,51,8,2,winter,12,2019,1,5.0,13198,2019-12-01
27887,640,3,2,63,1434.0,109,15,4,winter,12,2019,1,3.0,13198,2019-12-01
26893,640,3,3,63,32.0,9,2,1,winter,12,2019,1,3.0,13198,2019-12-01
6137,640,5,2,63,3915.0,109,15,4,winter,12,2019,2,5.0,13198,2019-12-01
52293,640,3,4,63,863.0,69,11,3,winter,12,2019,1,3.0,13198,2019-12-01
68257,640,4,3,63,6136.0,131,17,5,winter,12,2019,4,2.75,13198,2019-12-01
